"id","reservation_date","franchisee","pole_type","borough","x","y","latitude","longitude","zone","on_street","cross_street_1","cross_street_2","park_advisory","historic_advisory","scenic_landmark_advisory","bid_advisory","school_advisory","equipment_installed_yes_no","zipcode","community_board","council_district"
"17917","2017-12-29T00:00:00.000","Extenet II","CITY","Brooklyn","991862.0000000","170076.0000000","40.6334930","-73.9725750","B","Ocean Pkwy","Ave F","18th Ave",,,,,,"Y","11218","314","44"
"17627","2017-12-29T00:00:00.000","Extenet II","CITY","Brooklyn","991158.0000000","169466.0000000","40.6318190","-73.9751120","B","18th Ave","E 3rd St","E 4th St",,,,,,"Y","11218","314","44"
"20915","2019-03-06T00:00:00.000","Extenet II","UTILITY","Brooklyn","995223.0000000","166958.0000000","40.6249310","-73.9604710","B","E 16th St","Ave J","Ave K",,,,,,"N","11230","314","44"
"18440","2018-01-18T00:00:00.000","ExteNet I","CITY","Brooklyn","995186.0000000","167219.0000000","40.6256470","-73.9606040","B","E 16th St","Avenue J","Avenue I",,,,,,"Y","11230","314","44"
"17631","2017-12-29T00:00:00.000","Extenet II","CITY","Brooklyn","993953.0000000","166937.0000000","40.6248750","-73.9650460","B","Coney Island Ave","Ave J","Ave I",,,,,,"N","11230","314","44"
"16762","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","994230.0000000","166916.0000000","40.6248170","-73.9640480","B","Avenue J","E 12th Street","E 13th Street",,,,,,"Y","11230","314","44"
"16760","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","991271.0000000","168220.0000000","40.6283990","-73.9747060","B","Foster Avenue","E 3rd Street","Seton Place",,,,,,"Y","11230","314","44"
"16756","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","995118.0000000","166205.0000000","40.6228640","-73.9608500","B","Avenue K","E 15th Street","E 16th Street",,,,,,"Y","11230","314","44"
"16754","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","995189.0000000","165328.0000000","40.6204570","-73.9605960","B","Avenue L","E 15th Street","E 14th Street",,,,,,"Y","11230","314","44"
"15550","2017-11-22T00:00:00.000","Mobilitie I","CITY","Brooklyn","995829.0000000","164951.0000000","40.6194210","-73.9582910","B","E 17th Street","Bay Avenue","Chestnut Avenue",,,,,,"Y","11230","314","44"
"17910","2017-12-22T00:00:00.000","Crown Castle Fiber","CITY","Brooklyn","1003694.0000000","181157.0000000","40.6638900","-73.9299140","B","E New York Ave","E 92nd St","E 91st St",,,,,,"N","11212","317","41"
"17604","2017-12-29T00:00:00.000","Extenet II","CITY","Brooklyn","1005173.0000000","181106.0000000","40.6637460","-73.9245830","B","Rutland Rd","E 96th St","E 95th St",,,,,,"N","11212","317","41"
"17571","2017-12-22T00:00:00.000","Crown Castle Fiber","CITY","Brooklyn","1006905.0000000","179503.0000000","40.6593420","-73.9183460","B","Rockaway Pkwy","Lenox Rd","Willmohr St",,,,,,"N","11212","317","41"
"17455","2017-12-12T00:00:00.000","Crown Castle NG","CITY","Brooklyn","1005683.0000000","180519.0000000","40.6621340","-73.9227470","B","Winthrop St","E 96th St","E 95th St",,,,,,"N","11212","317","41"
"17115","2017-12-12T00:00:00.000","Crown Castle NG","CITY","Brooklyn","1005166.0000000","179502.0000000","40.6593430","-73.9246130","B","E 92nd St","Clarkson Ave","Winthrop St",,,,,,"N","11212","317","41"
"16999","2017-12-02T00:00:00.000","Crown Castle Solutions","CITY","Brooklyn","1003858.0000000","180582.0000000","40.6623110","-73.9293250","B","E 91st St","Rutland Rd","E New York Ave",,,,,,"N","11212","317","41"
"16997","2017-12-02T00:00:00.000","Crown Castle Solutions","CITY","Brooklyn","1004539.0000000","180178.0000000","40.6612000","-73.9268710","B","E 92nd St","Rutland Rd","Winthrop St",,,,,,"N","11212","317","41"
"16996","2017-12-02T00:00:00.000","Crown Castle Solutions","CITY","Brooklyn","1006358.0000000","180154.0000000","40.6611300","-73.9203150","B","Rockaway Pkwy","Clarkson Ave","Winthrop St",,,,,,"N","11212","317","41"
"15697","2017-11-13T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1006384.0000000","178815.0000000","40.6574550","-73.9202260","B","E 94th St","Kings Hwy","Willmohr St",,,,,,"N","11212","317","41"
"14440","2016-12-29T00:00:00.000","Mobilitie I","UTILITY","Brooklyn","1006208.0000000","178674.0000000","40.6570680","-73.9208610","B","E 93rd St","Kings Hwy","Wilmohr St",,,,,,"Y","11212","317","41"
"14041","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","1005187.0000000","181189.0000000","40.6639740","-73.9245320","B","Rutland Rd","E 96th St","Rockaway Parkway",,,,,,"Y","11212","317","41"
"13893","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","1006462.0000000","179196.0000000","40.6585000","-73.9199430","B","Lenox Rd","E 95th St","E 96th St",,,,,,"Y","11212","317","41"
"13892","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","1005447.0000000","180388.0000000","40.6617750","-73.9235980","B","Winthrop St","E 95th St","E 96th St",,,,,,"Y","11212","317","41"
"23694","2020-03-19T00:00:00.000","Crown Castle Fiber","UTILITY","Brooklyn","1002975.0000000","178435.0000000","40.6564200","-73.9325130","B","Clarkson Ave","E 48th St","E 49th St",,,,,,"N","11203","317","41"
"18139","2017-12-29T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1004074.0000000","176858.0000000","40.6520890","-73.9285570","B","Church Ave","E 52nd St","E 151st St",,,,,,"N","11203","317","41"
"16911","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","1005588.0000000","178090.0000000","40.6554670","-73.9230970","B","Remsen Avenue","E 58th Street","Lenox Road",,,,,,"Y","11203","317","41"
"16857","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","1003937.0000000","179190.0000000","40.6584900","-73.9290440","B","Winthrop Street","E 52nd Street","E 53rd Street",,,,,"WINTHROP CAMPUS","Y","11203","317","41"
"16787","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","1004975.0000000","176276.0000000","40.6504890","-73.9253120","B","Snyder Avenue","E 55th Street","E 56th Street",,,,,,"Y","11203","317","41"
"16645","2017-11-28T00:00:00.000","Extenet II","UTILITY","Brooklyn","1004398.0000000","176918.0000000","40.6522530","-73.9273890","B","Church Ave","East 53rd St","East 54th St",,,,,,"N","11203","317","41"
"16638","2017-11-28T00:00:00.000","Extenet II","UTILITY","Brooklyn","1000999.0000000","178257.0000000","40.6559350","-73.9396350","B","Albany Ave","Clarkson Ave","Lenox Rd",,,,,,"N","11203","317","41"
"16621","2017-11-28T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1001676.0000000","177364.0000000","40.6534830","-73.9371980","B","Linden Blvd","E 43rd St","Troy Ave",,,,,,"N","11203","317","41"
"15902","2017-11-16T00:00:00.000","Extenet II","UTILITY","Brooklyn","1002058.0000000","178359.0000000","40.6562130","-73.9358180","B","Clarkson Ave","E 45th St","Troy Ave",,,,,,"Y","11203","317","41"
"15695","2017-11-13T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1003448.0000000","178599.0000000","40.6568690","-73.9308080","B","Utica Ave","Clarkson Ave","Winthrop St",,,,,,"N","11203","317","41"
"15694","2017-11-13T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1004546.0000000","177776.0000000","40.6546070","-73.9268530","B","E 54th St","Linden Blvd","Lenox Rd",,,,,,"N","11203","317","41"
"15688","2017-11-13T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1002942.0000000","177966.0000000","40.6551330","-73.9326330","B","E 48th St","Lenox Rd","Linden Blvd",,,,,,"N","11203","317","41"
"15687","2017-11-13T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1003038.0000000","176787.0000000","40.6518960","-73.9322910","B","E 48th St","Church Ave","Linden Blvd",,,,,,"Y","11203","317","41"
"15686","2017-11-13T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1001981.0000000","176680.0000000","40.6516050","-73.9361000","B","Troy Ave","Church Ave","Linden Blvd",,,,,,"N","11203","317","41"
"15685","2017-11-13T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1001409.0000000","176641.0000000","40.6514990","-73.9381620","B","E 42nd St","Church Ave","Linden Blvd",,,,,,"N","11203","317","41"
"14731","2017-05-10T00:00:00.000","Mobilitie II","CITY","Brooklyn","1004471.0000000","179236.0000000","40.6586150","-73.9271190","B","Winthrop Street","E 54 Street","Remsen Avenue",,,,,,"Y","11203","317","41"
"13889","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","1003418.0000000","178079.0000000","40.6554420","-73.9309180","B","Utica Ave","Lennox Ave","Clarkson Ave",,,,,,"Y","11203","317","41"
"13544","2016-09-28T00:00:00.000","Mobilitie I","UTILITY","Brooklyn","1002734.0000000","177307.0000000","40.6533240","-73.9333850","B","Schenectady Ave","Linden Blvd","Church Ave",,,,,"PS 135","Y","11203","317","41"
"18148","2017-12-29T00:00:00.000","Crown Castle NG","UTILITY","Brooklyn","1008747.0000000","181666.0000000","40.6652740","-73.9116990","C","Blake Ave","Bristol St","Thomas S Boyland St","Betsy Head Park,",,,,,"N","11212","316","41"
"16982","2018-01-20T00:00:00.000","Mobilitie II","CITY","Brooklyn","1009577.0000000","181827.0000000","40.6657140","-73.9087060","C","Blake Avenue","Rockaway Avenue","Mother Gaston Boulevard",,,,,,"Y","11212","316","41"
"16981","2018-01-20T00:00:00.000","Mobilitie II","CITY","Brooklyn","1006872.0000000","181927.0000000","40.6659950","-73.9184560","C","Sutter Avenue","Grafton Street","Legion Street",,,,,,"Y","11212","316","41"
"16958","2018-01-20T00:00:00.000","Mobilitie II","CITY","Brooklyn","1011296.0000000","181064.0000000","40.6636140","-73.9025130","C","Powell Street","Livonia Avenue","Dumont Avenue",,,,,,"Y","11212","316","41"
"16955","2018-01-20T00:00:00.000","Mobilitie II","CITY","Brooklyn","1007912.0000000","182130.0000000","40.6665500","-73.9147070","C","Sutter Avenue","Herzl Street","Amboy Street",,,,,,"Y","11212","316","41"
